序號,縣市,機構名稱,機構地址,聯絡電話,藥癮_藥物治療,藥癮_維持治療_美沙冬,藥癮_維持治療_丁基原啡因,藥癮_心理治療,藥癮_家族治療,藥癮_職能治療,藥癮_個案管理,藥癮_生活重建,藥癮_美沙冬跨區給藥,藥癮_美沙冬給藥點,酒癮_藥物治療,酒癮_心理治療,酒癮_家族治療,酒癮_職能治療,酒癮_個案管理,酒癮_生活重建,經度 (lng),緯度 (lat)
78,臺中市,童綜合醫療社團法人童綜合醫院,臺中市沙鹿區成功西街8號,04-26626161,V,V,V,V,V,V,V,,V,,V,V,V,V,V,,120.560576,24.242944
79,臺中市,佛教慈濟醫療財團法人臺中慈濟醫院,臺中市潭子區豐興路一段66號,04-36060666,V,V,V,V,,,V,,V,,,,,,,,120.720344,24.193856
80,臺中市,中山醫學大學附設醫院,臺中市南區建國北路一段110號,04-24739595,V,"V
(僅供住院患者)",,V,V,V,V,,,,V,V,V,V,V,,120.6499,24.121753
81,臺中市,中山醫學大學附設醫院中興分院,臺中市南區復興路二段11號,04-22621652,V,V,V,V,V,V,V,,V,,,,,,,,120.658559,24.118123
82,臺中市,中國醫藥大學附設醫院,臺中市北區育德路2號,04-22052121,V,V,V,V,V,V,V,,V,,V,V,V,V,V,,120.680049,24.157212
83,臺中市,財團法人台灣省私立台中仁愛之家附設靜和醫院,臺中市西區吉龍里南屯路一段158號,04-23711129,V,,V,V,V,V,V,,,,V,V,V,V,V,,120.659415,24.133717
84,臺中市,宏恩醫院龍安分院,臺中市南區德富路145巷2號,04-37017188,,,,,,,,,,,,V,V,V,V,,120.655282,24.11934
85,臺中市,澄清綜合醫院中港分院,臺中市西屯區臺灣大道四段966號,04-24632000,V,,V,V,,,,,,,V,V,,,V,,120.617033,24.182853
86,臺中市,陽光精神科醫院,臺中市清水區大楊南街98號,04-26202949,V,,,,V,V,V,,,,,,,,,,120.609232,24.281127
87,臺中市,清濱醫院,臺中市清水區海濱里港埠路四段195號,04-26283995,,,,,,,,,,,V,V,,,V,,120.548884,24.283123
88,臺中市,清海醫院,臺中市石岡區金星里石岡街下坑巷41-2號,04-25721694,,,,,,,,,,,V,V,V,V,V,,120.774147,24.25123
89,臺中市,賢德醫院,臺中市太平區宜昌路420號,04-22732551,V,V,V,V,V,V,V,V,V,,V,V,V,V,V,V,120.714087,24.145092
90,臺中市,新活力診所,臺中市沙鹿區中山路493之2號,04-26622395,V,,V,V,V,,V,,,,,,,,,,120.56231,24.24631
91,臺中市,廖慈凰身心診所,臺中市西區博館路115號2樓,04-23255018,V,,,V,V,,V,,,,V,V,V,,V,,120.665308,24.156364
92,臺中市,詹東霖心身診所,臺中市中區三民路二段11號,04-22256362,V,,V,V,,,,,,,,,,,,,120.677432,24.140632
93,臺中市,人文傳習書院博雅心理治療所,台中市西區華美西街一段160號,04-23134566,,,,V,V,,,,,,,,,,,,120.661641,24.158384
94,臺中市,一心心理諮商所,臺中市北區華中街25號,04-22075313,,,,V,V,,,,,,,,,,,,120.671932,24.156821
95,臺中市,芙樂奇心理成長心理諮商所,臺中市北屯區平福里大連路二段213號,04-24723216,,,,V,,,,,,,,,,,,,120.687805,24.175737
96,臺中市,耕心心理諮商所,臺中市南屯區大墩南路412號,0912622789,,,,V,V,,,,,,,,,,,,120.650203,24.133953
97,臺中市,財團法人台中市私立慈光社會福利慈善事業基金會附設慈光社區心理諮商所,台中市東區東英五街88號2樓,04-22153505,,,,V,V,,,,,,,,,,,,120.704432,24.136192
98,臺中市,臺中市石岡區衛生所,臺中市石岡區萬安里石岡街6號,04-25721887,,V,,,,,,,,V,,,,,,,120.777573,24.276012
99,臺中市,臺中市大肚區衛生所,臺中市大肚區頂街里榮華街1號,04-26992111,,V,,,,,,,,V,,,,,,,120.544787,24.15509
100,彰化縣,衛生福利部彰化醫院,彰化縣埔心鄉舊館村中正路二段80號,04-8298686,V,V,V,V,V,,V,,V,,V,V,V,,V,,120.527299,23.950225
101,彰化縣,秀傳醫療社團法人秀傳紀念醫院,彰化縣彰化市南瑤里中山路一段542號,04-7256166,V,V,V,V,,,V,,V,,V,V,,,V,,120.537508,24.064786
102,彰化縣,彰化基督教醫療財團法人彰化基督教醫院,彰化縣彰化市南校街135號,04-7238595,V,V,V,V,V,,V,,V,,V,V,V,,V,,120.544461,24.07149
103,彰化縣,秀傳醫療財團法人彰濱秀傳紀念醫院,彰化縣鹿港鎮鹿工路6號,04-7813888,V,,,V,,,V,,,,V,V,,,V,,120.41112,24.078274
104,彰化縣,彰化基督教醫療財團法人鹿東基督教醫院,彰化縣鹿港鎮鹿東路二段888號,04-7789595,V,V,V,V,,,V,,V,,V,,,,,,120.468512,24.055645
105,彰化縣,彰化基督教醫療財團法人二林基督教醫院,彰化縣二林鎮南光里大成路一段558號,04-8952031,V,V,V,,,V,V,,V,,V,,,,,,120.363344,23.893608
106,彰化縣,敦仁醫院,彰化縣員林市振興里員水路一段102巷74弄99號,04-7071727,V,,,V,,,V,,,,V,V,,,,,120.60465,23.951467
107,彰化縣,芙樂奇心理諮商所,彰化縣員林市新生里南和街64號,04-8346028,,,,V,,,,,,,,,,,,,120.567061,23.958088
108,南投縣,衛生福利部南投醫院,南投縣南投市康壽里復興路478號,049-2231150,,V,,V,V,V,V,,V,,V,V,,V,V,,120.685294,23.914093
109,南投縣,衛生福利部草屯療養院,南投縣草屯鎮玉屏路161號,049-2550800,V,V,V,V,V,V,V,V,V,,V,V,V,V,V,V,120.704532,23.990395
110,南投縣,臺中榮民總醫院埔里分院,南投縣埔里鎮蜈蚣里榮光路1號,049-2990833,,V,V,V,,V,V,,V,,,,,,,,120.99681,23.975802
111,南投縣,埔基醫療財團法人埔里基督教醫院,南投縣埔里鎮鐵山里鐵山路1號,049-2912151,,,,,,,,,,,,V,,,V,,120.947624,23.971594
112,南投縣,唯聆心理治療,南投縣草屯鎮仁愛街270號 ,0958797012,,,,V,,,,,,,,,,,,,120.678079,23.98467
113,南投縣,南投縣鹿谷鄉衛生所,南投縣鹿谷鄉中正路二段20號,049-2752002,,V,,,,,,,,V,,,,,,,120.754245,23.744882
114,南投縣,南投縣魚池鄉衛生所,南投縣魚池鄉東池村魚池街194號,049-2895513,,V,,,,,,,,V,,,,,,,120.941269,23.895524
115,南投縣,南投縣國姓鄉衛生所,南投縣國姓鄉國姓村民族街42號,049-2721009,,V,,,,,,,,V,,,,,,,120.854679,24.037882
116,南投縣,南投縣水里鄉衛生所,南投縣水里鄉博愛路205號,049-2770079,,V,,,,,,,,V,,,,,,,120.848971,23.810497
117,南投縣,南投縣信義鄉衛生所,南投縣信義鄉明德村玉山路45號,049-2791148,,V,,,,,,,,V,,,,,,,120.85472,23.696529
118,南投縣,南投縣仁愛鄉衛生所,南投縣仁愛鄉五福巷17號,049-2802341,,V,,,,,,,,V,,,,,,,121.134409,24.024478
119,雲林縣,國立臺灣大學醫學院附設醫院雲林分院,雲林縣斗六市雲林路二段579號,05-5323911,V,V,V,V,V,V,V,,V,,V,V,V,V,V,,120.525929,23.697662
120,雲林縣,國立成功大學醫學院附設醫院斗六分院,雲林縣斗六市莊敬路345號,05-5332121,V,V,,V,V,V,V,,V,,,,,,,,120.545625,23.703133
121,雲林縣,信安醫療社團法人信安醫院,雲林縣斗六市江厝里瓦厝路159號,05-5223788,V,,V,,,,,,,,V,V,V,V,V,,120.511264,23.668634
122,雲林縣,天主教若瑟醫療財團法人若瑟醫院,雲林縣虎尾鎮新生路74號,05-6337333,V,V,V,V,V,V,V,,V,,,V,V,,V,,120.437886,23.708214
123,雲林縣,中國醫藥大學北港附設醫院,雲林縣北港鎮新街里新德路123號,05-7837901,V,V,V,V,V,V,V,,V,,V,V,V,V,V,,120.30782,23.591763
124,雲林縣,何正岳診所,雲林縣斗六市鎮西里建成路115號,05-5328680,V,,V,,,,,,,,,,,,,,120.5336,23.703778
125,雲林縣,廖寶全診所,雲林縣虎尾鎮東仁里東明路182號,05-6322584,V,,V,V,V,,V,,,,,,,,,,120.43971,23.714759
126,雲林縣,諸元內科醫院,雲林縣北港鎮中山路125號,05-7832068,,,,,,,,,,,V,,,,V,,120.304584,23.566801
127,雲林縣,雲林縣林內鄉衛生所,雲林縣林內鄉新興路54號,05-5892273,,V,,,,,,,,V,,,,,,,120.612548,23.759914
128,雲林縣,雲林縣麥寮鄉衛生所,雲林縣麥寮鄉新興路8-1號,05-6932268,,V,,,,,,,,V,,,,,,,120.251653,23.745923
129,雲林縣,雲林縣二崙鄉衛生所,雲林縣二崙鄉中興路9號,05-5981004,,V,,,,,,,,V,,,,,,,120.412634,23.771872
130,嘉義縣,衛生福利部朴子醫院,嘉義縣朴子市永和里42-50號,05-3790600,V,V,V,V,,V,V,,V,,V,V,,V,V,,120.233813,23.464229
131,嘉義縣,臺中榮民總醫院灣橋分院,嘉義縣竹崎鄉灣橋村石麻園38號,05-2791072,V,V,V,V,V,V,V,,V,,V,V,V,V,V,,120.50638,23.48778
132,嘉義縣,長庚醫療財團法人嘉義長庚紀念醫院,嘉義縣朴子市嘉朴路西段8號,05-3621000,,,,,,,,,,,V,V,V,V,V,,120.286068,23.46272
133,嘉義縣,佛教慈濟醫療財團法人大林慈濟醫院,嘉義縣大林鎮平林里民生路2號,05-2648000,V,,V,V,,V,V,,,,V,V,,,,,120.457449,23.596312
134,嘉義縣,嘉義縣東石鄉衛生所,嘉義縣東石鄉東石村3-7號,05-3732340,,V,,,,,,,,V,,,,,,,120.154086,23.459259
135,嘉義市,衛生福利部嘉義醫院,嘉義市西區福全里北港路312號,05-2319090,V,V,,V,,V,V,,,,V,V,,,,,120.4308,23.479849
136,嘉義市,臺中榮民總醫院嘉義分院,嘉義市西區劉厝里世賢路二段600號,05-2359630,V,V,V,V,V,V,V,,V,,V,V,,,V,,120.42297,23.467549
137,嘉義市,戴德森醫療財團法人嘉義基督教醫院,嘉義市東區忠孝路539號,05-2765041,,,,,,,,,,,V,V,V,V,V,,120.45005,23.4994
138,嘉義市,天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,嘉義市民權路60號,05-2780040,,,,,,,,,,,V,V,V,,V,,120.46148,23.48418
139,嘉義市,陽明醫院,嘉義市東區吳鳯北路252號,05-2252000,,,,,,,,,,,V,V,V,,V,,120.45319,23.48057
140,臺南市,衛生福利部臺南醫院,臺南市中西區中山路125號,06-2200055,V,V,,V,V,V,V,,,,,,,,,,120.209228,22.995819
141,臺南市,衛生福利部新營醫院,臺南市新營區忠政里信義街73號,06-6351131,V,V,V,V,V,V,V,,V,,,,,,,,120.313203,23.309154
142,臺南市,衛生福利部嘉南療養院,臺南市仁德區裕忠路539號,06-2795019,V,V,V,V,V,V,V,,V,,V,V,V,V,V,,120.241951,22.976718
143,臺南市,國立成功大學醫學院附設醫院,臺南市北區勝利路138號,06-2353535,V,V,V,V,V,V,V,,V,,V,V,V,V,V,,120.21923,23.00221
144,臺南市,高雄榮民總醫院臺南分院,臺南市永康區復興路427號,06-3125101,V,,,V,V,V,V,,,,,,,,,,120.240316,22.997218
145,臺南市,臺南市立醫院（委託秀傳醫療社團法人經營）,臺南市東區崇德路670號,06-2609926,V,V,,V,V,V,V,V,,,,,,,,,120.226743,22.968534
146,臺南市,奇美醫療財團法人柳營奇美醫院,臺南市柳營區太康里201號,06-6226999,V,,V,V,V,V,,,,,V,V,V,V,,,120.324705,23.289269
147,臺南市,奇美醫療財團法人奇美醫院,臺南市永康區中華路901號,06-2228116,,,,,,,,,,,V,V,V,V,V,,120.221897,23.020606
148,臺南市,奇美醫療財團法人奇美醫院(樹林院區),臺南市南區樹林街二段442號,06-2228116,V,V,V,V,V,V,V,,V,,V,V,V,V,V,,120.196111,22.986581
149,臺南市,臺南市立安南醫院（委託中國醫藥大學興建經營）,臺南市安南區長和路二段66號,06-3553111,V,V,V,V,,,V,,,,V,,,,,,120.223192,23.064232
150,臺南市,郭綜合醫院,臺南市中西區 民生路二段22號,06-2221111,V,,V,V,,,V,,,,,,,,,,120.198504,22.994862
151,臺南市,心樂活診所,臺南市東區凱旋路39號,06-2383636,V,,V,,,,,,,,,,,,,,120.230331,22.992968
152,臺南市,臺南市鹽水區衛生所,臺南市鹽水區武廟路1號,06-6521041,,V,,,,,,,,V,,,,,,,120.265297,23.320245
153,臺南市,臺南市東山區衛生所,臺南市東山區東山里236號,06-6802618,,V,,,,,,,,V,,,,,,,120.404723,23.326329
154,臺南市,臺南市官田區衛生所,臺南市官田區隆田里中山路一段128號,06-5791493,,V,,,,,,,,V,,,,,,,120.3161,23.193068
155,臺南市,臺南市將軍區衛生所,臺南市將軍區忠嘉里忠興185-6號,06-7942007,,V,,,,,,,,V,,,,,,,120.1632603,23.2018481
156,臺南市,臺南市關廟區衛生所,臺南市關廟區山西里中正路1000號,06-5952395,,V,,,,,,,,V,,,,,,,120.327248,22.963028
157,臺南市,臺南市玉井區衛生所,臺南市玉井區中正路5號,06-5742275,,V,,,,,,,,V,,,,,,,120.459103,23.12235
158,高雄市,高雄市立聯合醫院,高雄市鼓山區中華一路976號,07-5552565,V,,V,V,V,V,V,,,,,,,,,,120.291698,22.654924
159,高雄市,高雄市立凱旋醫院,高雄市苓雅區凱旋二路130號,07-7513171,V,V,V,V,,V,V,,V,,V,V,V,V,V,,120.324271,22.62519
160,高雄市,衛生福利部旗山醫院,高雄市旗山區大德里中學路60號,07-6613811,V,V,V,V,V,V,V,,V,,V,V,,,V,,120.483277,22.880693
161,高雄市,國軍左營總醫院附設民眾診療服務處,高雄市左營區合群里30鄰軍校路553號,07-5817121,V,V,,,,,,,V,,,,,,,,120.292231,22.700351
162,高雄市,國軍高雄總醫院附設民眾診療服務處,高雄市苓雅區建軍路5號,07-7496779,V,V,V,V,V,V,V,,V,,V,V,V,V,V,,120.341937,22.626055
163,高雄市,高雄榮民總醫院,高雄市左營區大中一路386號,07-3422121,V,V,V,V,V,V,V,,V,,,,,,,,120.322256,22.677696
164,高雄市,阮綜合醫療社團法人阮綜合醫院,高雄市苓雅區成功一路162號,07-2692589,V,V,,V,,,V,,V,,,,,,,,120.297377,22.615583
165,高雄市,高雄市立小港醫院（委託財團法人私人高雄醫學大學經營）,高雄市小港區山明里山明路482號B1-10樓,07-8036783,V,V,,V,V,V,V,,V,,V,V,V,V,V,,120.363369,22.567467
166,高雄市,長庚醫療財團法人高雄長庚紀念醫院,高雄市鳥松區大埤路123號,07-7317123,V,V,V,V,V,V,V,,V,,V,V,V,,V,,120.356029,22.649847
167,高雄市,義大醫療財團法人義大醫院,高雄市燕巢區角宿里義大路1號,07-6150011,V,V,V,V,V,V,V,,V,,,,,,,,120.364451,22.765521
168,高雄市,財團法人私立高雄醫學大學附設中和紀念醫院,高雄市三民區十全一路100號,07-3121101,V,V,V,V,V,V,V,,V,,V,V,V,V,V,,120.310001,22.645178
169,高雄市,財團法人台灣省私立高雄仁愛之家附設慈惠醫院,高雄市大寮區後庄里鳳屏一路509號,07-7030315,V,V,V,V,V,,V,,V,,V,V,V,V,V,,120.397505,22.639236
